曲名,类别,难度,等级,定数,达成率,DX分数, DX Rating
The Great Journey,SD,Advanced,6,6.8,0,0,0
The Great Journey,SD,Expert,10,10.5,0,0,0
The Great Journey,SD,Master,11+,11.8,0,0,0
お嫁にしなさいっ！,SD,Basic,3,3,0,0,0
お嫁にしなさいっ！,SD,Advanced,7,7.6,0,0,0
お嫁にしなさいっ！,SD,Expert,10+,10.9,0,0,0
お嫁にしなさいっ！,SD,Master,12+,12.8,0,0,0
ロストワンの号哭,SD,Basic,4,4,0,0,0
ロストワンの号哭,SD,Advanced,6,6.8,0,0,0
ロストワンの号哭,SD,Expert,10+,10.8,0,0,0
ロストワンの号哭,SD,Re:MASTER,14,14.2,0,0,0
患部で止まってすぐ溶ける～狂気の優曇華院,SD,Basic,4,4,0,0,0
患部で止まってすぐ溶ける～狂気の優曇華院,SD,Advanced,8,8,0,0,0
患部で止まってすぐ溶ける～狂気の優曇華院,SD,Expert,10+,10.7,0,0,0
患部で止まってすぐ溶ける～狂気の優曇華院,SD,Re:MASTER,14,14,0,0,0
ケロ⑨destiny,SD,Basic,4,4,0,0,0
ケロ⑨destiny,SD,Advanced,7,7.3,0,0,0
ケロ⑨destiny,SD,Expert,10+,10.9,0,0,0
ケロ⑨destiny,SD,Master,12+,12.9,0,0,0
"Endless, Sleepless Night",SD,Basic,4,4,0,0,0
"Endless, Sleepless Night",SD,Advanced,8,8.3,0,0,0
"Endless, Sleepless Night",SD,Expert,10+,10.8,0,0,0
"Endless, Sleepless Night",SD,Master,13,13.3,0,0,0
POP STAR,SD,Basic,3,3,0,0,0
POP STAR,SD,Advanced,7,7,0,0,0
POP STAR,SD,Expert,9,9.6,0,0,0
POP STAR,SD,Master,11,11.4,0,0,0
Back 2 Back,SD,Basic,6,6,0,0,0
Back 2 Back,SD,Advanced,7+,7.8,0,0,0
Back 2 Back,SD,Expert,10+,10.8,0,0,0
神々の祈り,SD,Basic,3,3,0,0,0
神々の祈り,SD,Advanced,7,7.1,0,0,0
神々の祈り,SD,Expert,9,9.3,0,0,0
神々の祈り,SD,Master,12+,12.7,0,0,0
エピクロスの虹はもう見えない,SD,Basic,3,3,0,0,0
エピクロスの虹はもう見えない,SD,Advanced,7,7.4,0,0,0
エピクロスの虹はもう見えない,SD,Expert,9+,9.9,0,0,0
エピクロスの虹はもう見えない,SD,Master,11+,11.8,0,0,0
エピクロスの虹はもう見えない,SD,Re:MASTER,13,13.2,0,0,0
シアワセうさぎ,SD,Basic,4,4,0,0,0
シアワセうさぎ,SD,Advanced,7,7.3,0,0,0
シアワセうさぎ,SD,Expert,8+,8.8,0,0,0
シアワセうさぎ,SD,Master,11,11,0,0,0
ってゐ！ ～えいえんてゐVer～,SD,Basic,3,3,0,0,0
ってゐ！ ～えいえんてゐVer～,SD,Advanced,7,7.3,0,0,0
ってゐ！ ～えいえんてゐVer～,SD,Expert,9+,9.7,0,0,0
ってゐ！ ～えいえんてゐVer～,SD,Master,12,12.5,0,0,0
ってゐ！ ～えいえんてゐVer～,SD,Re:MASTER,13,13.2,0,0,0
待チ人ハ来ズ。,SD,Basic,3,3,0,0,0
待チ人ハ来ズ。,SD,Advanced,7,7.6,0,0,0
待チ人ハ来ズ。,SD,Expert,9+,9.8,0,0,0
待チ人ハ来ズ。,SD,Master,13,13.2,0,0,0
Cosmic Magic Shooter,SD,Basic,5,5,0,0,0
Cosmic Magic Shooter,SD,Advanced,7+,7.8,0,0,0
Cosmic Magic Shooter,SD,Expert,10+,10.8,0,0,0
深海少女,SD,Basic,3,3,0,0,0
深海少女,SD,Advanced,7,7.3,0,0,0
深海少女,SD,Expert,9+,9.9,0,0,0
M.S.S.Planet,SD,Basic,3,3,0,0,0
M.S.S.Planet,SD,Advanced,7+,7.7,0,0,0
M.S.S.Planet,SD,Expert,10+,10.7,0,0,0
東方スイーツ！～鬼畜姉妹と受難メイド～,SD,Basic,5,5,0,0,0
東方スイーツ！～鬼畜姉妹と受難メイド～,SD,Advanced,7+,7.7,0,0,0
東方スイーツ！～鬼畜姉妹と受難メイド～,SD,Expert,10+,10.7,0,0,0
幻想のサテライト,SD,Basic,4,4,0,0,0
幻想のサテライト,SD,Advanced,8,8.1,0,0,0
幻想のサテライト,SD,Expert,11,11.3,0,0,0
最速最高シャッターガール,SD,Basic,4,4,0,0,0
最速最高シャッターガール,SD,Advanced,8,8.2,0,0,0
最速最高シャッターガール,SD,Expert,10+,10.9,0,0,0
最速最高シャッターガール,SD,Master,12,12.6,0,0,0
バラライカ,SD,Basic,3,3,0,0,0
バラライカ,SD,Advanced,7+,7.7,0,0,0
バラライカ,SD,Expert,9+,9.8,0,0,0
バラライカ,SD,Master,12,12,0,0,0
林檎華憐歌,SD,Basic,5,5,0,0,0
林檎華憐歌,SD,Advanced,7,7.4,0,0,0
林檎華憐歌,SD,Expert,11,11.3,0,0,0
YATTA!,SD,Basic,3,3,0,0,0
YATTA!,SD,Advanced,6,6.9,0,0,0
YATTA!,SD,Expert,9+,9.7,0,0,0
YATTA!,SD,Master,11+,11.7,0,0,0
Jack-the-Ripper◆,SD,Basic,5,5,0,0,0
Jack-the-Ripper◆,SD,Advanced,9,9,0,0,0
Jack-the-Ripper◆,SD,Master,14,14,0,0,0
Windy Hill -Zone 1,SD,Basic,4,4,0,0,0
Windy Hill -Zone 1,SD,Advanced,8,8.3,0,0,0
Windy Hill -Zone 1,SD,Expert,11,11,0,0,0
Windy Hill -Zone 1,SD,Master,13,13.4,0,0,0
コトバ・カラフル,SD,Basic,3,3,0,0,0
コトバ・カラフル,SD,Advanced,7,7.2,0,0,0
コトバ・カラフル,SD,Expert,8,8.6,0,0,0
タカハせ！名人マン,SD,Basic,3,3,0,0,0
タカハせ！名人マン,SD,Advanced,7,7.5,0,0,0
タカハせ！名人マン,SD,Expert,9+,9.8,0,0,0
言ノ葉カルマ,SD,Basic,4,4,0,0,0
言ノ葉カルマ,SD,Advanced,7,7.5,0,0,0
言ノ葉カルマ,SD,Expert,10+,10.7,0,0,0
言ノ葉カルマ,SD,Master,13,13.4,0,0,0
言ノ葉カルマ,SD,Re:MASTER,13,13.3,0,0,0
かせげ！ジャリンコヒーロー,SD,Basic,4,4,0,0,0
かせげ！ジャリンコヒーロー,SD,Advanced,7,7.6,0,0,0
かせげ！ジャリンコヒーロー,SD,Expert,9+,9.8,0,0,0
かせげ！ジャリンコヒーロー,SD,Master,12,12.5,0,0,0
キズナの物語,SD,Basic,3,3,0,0,0
キズナの物語,SD,Advanced,7,7.2,0,0,0
キズナの物語,SD,Expert,9,9.1,0,0,0
キズナの物語,SD,Master,13,13.2,0,0,0
Heart Beats,SD,Basic,4,4,0,0,0
Heart Beats,SD,Advanced,7,7.5,0,0,0
Heart Beats,SD,Expert,9+,9.8,0,0,0
Heart Beats,SD,Master,12,12.4,0,0,0
鼓動,SD,Basic,4,4,0,0,0
鼓動,SD,Advanced,7+,7.7,0,0,0
鼓動,SD,Expert,10+,10.8,0,0,0
鼓動,SD,Master,13,13.3,0,0,0
DRAGONLADY,SD,Basic,4,4,0,0,0
DRAGONLADY,SD,Advanced,8,8.4,0,0,0
二息歩行,SD,Basic,3,3,0,0,0
二息歩行,SD,Advanced,7,7.6,0,0,0
二息歩行,SD,Expert,10,10.1,0,0,0
二息歩行,SD,Master,13,13.2,0,0,0
ファンタジーゾーン OPA-OPA! -GMT remix-,SD,Basic,4,4,0,0,0
ファンタジーゾーン OPA-OPA! -GMT remix-,SD,Advanced,7,7.4,0,0,0
ファンタジーゾーン OPA-OPA! -GMT remix-,SD,Expert,10+,10.8,0,0,0
ファンタジーゾーン OPA-OPA! -GMT remix-,SD,Master,13,13.4,0,0,0
電車で電車でGO!GO!GO!GC! -GMT remix-,SD,Basic,5,5,0,0,0
電車で電車でGO!GO!GO!GC! -GMT remix-,SD,Advanced,7,7.6,0,0,0
電車で電車でGO!GO!GO!GC! -GMT remix-,SD,Expert,9,9.5,0,0,0
電車で電車でGO!GO!GO!GC! -GMT remix-,SD,Master,12,12.5,0,0,0
RIDGE RACER STEPS -GMT remix-,SD,Basic,5,5,0,0,0
RIDGE RACER STEPS -GMT remix-,SD,Advanced,8,8,0,0,0
RIDGE RACER STEPS -GMT remix-,SD,Master,13,13.4,0,0,0
リッジでリッジでGO!GO!GO! -GMT mashup-,SD,Basic,4,4,0,0,0
リッジでリッジでGO!GO!GO! -GMT mashup-,SD,Advanced,7,7.6,0,0,0
リッジでリッジでGO!GO!GO! -GMT mashup-,SD,Expert,11+,11.8,0,0,0
リッジでリッジでGO!GO!GO! -GMT mashup-,SD,Master,13+,13.7,0,0,0
オパ! オパ! RACER -GMT mashup-,SD,Basic,4,4,0,0,0
オパ! オパ! RACER -GMT mashup-,SD,Advanced,7,7.1,0,0,0
オパ! オパ! RACER -GMT mashup-,SD,Expert,10+,10.8,0,0,0
オパ! オパ! RACER -GMT mashup-,SD,Master,13+,13.7,0,0,0
電車で電車でOPA!OPA!OPA! -GMT mashup-,SD,Basic,4,4,0,0,0
電車で電車でOPA!OPA!OPA! -GMT mashup-,SD,Advanced,7,7.3,0,0,0
電車で電車でOPA!OPA!OPA! -GMT mashup-,SD,Expert,11+,11.8,0,0,0
電車で電車でOPA!OPA!OPA! -GMT mashup-,SD,Master,13+,13.7,0,0,0
Axeria,SD,Basic,6,6,0,0,0
Axeria,SD,Advanced,8,8.6,0,0,0
ピーマンたべたら,SD,Basic,5,5,0,0,0
ピーマンたべたら,SD,Advanced,7,7.6,0,0,0
ピーマンたべたら,SD,Expert,11,11.4,0,0,0
MIRROR of MAGIC,SD,Basic,5,5,0,0,0
MIRROR of MAGIC,SD,Advanced,7+,7.8,0,0,0
MIRROR of MAGIC,SD,Expert,10+,10.7,0,0,0
究極焼肉レストラン！お燐の地獄亭！,SD,Basic,6,6,0,0,0
究極焼肉レストラン！お燐の地獄亭！,SD,Advanced,7,7.3,0,0,0
究極焼肉レストラン！お燐の地獄亭！,SD,Expert,10+,10.7,0,0,0
究極焼肉レストラン！お燐の地獄亭！,SD,Master,12+,12.7,0,0,0
shake it!,SD,Basic,5,5,0,0,0
shake it!,SD,Advanced,7,7.6,0,0,0
shake it!,SD,Expert,9,9,0,0,0
shake it!,SD,Master,12,12.5,0,0,0
YU-MU,SD,Basic,4,4,0,0,0
YU-MU,SD,Advanced,7,7.5,0,0,0
YU-MU,SD,Expert,10+,10.8,0,0,0
物凄い勢いでけーねが物凄いうた,SD,Basic,5,5,0,0,0
物凄い勢いでけーねが物凄いうた,SD,Advanced,7,7.3,0,0,0
物凄い勢いでけーねが物凄いうた,SD,Expert,9+,9.8,0,0,0
BETTER CHOICE,SD,Basic,4,4,0,0,0
BETTER CHOICE,SD,Advanced,8,8.3,0,0,0
BETTER CHOICE,SD,Expert,10+,10.8,0,0,0
BETTER CHOICE,SD,Master,12+,12.9,0,0,0
Oshama Scramble!,SD,Basic,6,6,0,0,0
Oshama Scramble!,SD,Advanced,8,8.6,0,0,0
Oshama Scramble!,SD,Master,14,14.5,0,0,0
D✪N’T  ST✪P  R✪CKIN’,SD,Basic,6,6,0,0,0
D✪N’T  ST✪P  R✪CKIN’,SD,Advanced,8,8.1,0,0,0
D✪N’T  ST✪P  R✪CKIN’,SD,Expert,11+,11.9,0,0,0
D✪N’T  ST✪P  R✪CKIN’,SD,Re:MASTER,13,13.5,0,0,0
ガラテアの螺旋,SD,Basic,6,6,0,0,0
ガラテアの螺旋,SD,Advanced,8+,8.8,0,0,0
ガラテアの螺旋,SD,Re:MASTER,14+,14.7,0,0,0
oboro,SD,Basic,6,6,0,0,0
oboro,SD,Advanced,8,8.4,0,0,0
oboro,SD,Expert,12,12,0,0,0
Dragoon,SD,Basic,5,5,0,0,0
Dragoon,SD,Advanced,8,8.6,0,0,0
Dragoon,SD,Expert,10+,10.9,0,0,0
アンハッピーリフレイン,SD,Basic,5,5,0,0,0
アンハッピーリフレイン,SD,Advanced,8,8.3,0,0,0
One Step Ahead,SD,Basic,6,6,0,0,0
One Step Ahead,SD,Advanced,7,7.5,0,0,0
One Step Ahead,SD,Expert,11,11.2,0,0,0
One Step Ahead,SD,Master,12+,12.7,0,0,0
L9,SD,Basic,5,5,0,0,0
L9,SD,Advanced,8,8.3,0,0,0
L9,SD,Expert,11,11.1,0,0,0
planet dancer,SD,Basic,4,4,0,0,0
planet dancer,SD,Advanced,7+,7.8,0,0,0
planet dancer,SD,Expert,11,11.2,0,0,0
planet dancer,SD,Master,13,13.2,0,0,0
planet dancer,SD,Re:MASTER,13+,13.7,0,0,0
Caliburne ～Story of the Legendary sword～,SD,Basic,5,5,0,0,0
Caliburne ～Story of the Legendary sword～,SD,Advanced,9,9.4,0,0,0
どうしてこうなった,SD,Basic,5,5,0,0,0
どうしてこうなった,SD,Advanced,7+,7.8,0,0,0
どうしてこうなった,SD,Expert,11+,11.7,0,0,0
B.B.K.K.B.K.K.,SD,Basic,6,6,0,0,0
B.B.K.K.B.K.K.,SD,Advanced,8+,8.8,0,0,0
おこちゃま戦争,SD,Basic,6,6,0,0,0
おこちゃま戦争,SD,Advanced,7,7.3,0,0,0
おこちゃま戦争,SD,Expert,10+,10.8,0,0,0
おこちゃま戦争,SD,Master,13,13.3,0,0,0
Link(CoF),SD,Basic,6,6,0,0,0
Link(CoF),SD,Advanced,8,8.2,0,0,0
Link(CoF),SD,Expert,10+,10.7,0,0,0
Link(CoF),SD,Master,12,12.5,0,0,0
VERTeX,SD,Basic,5,5,0,0,0
VERTeX,SD,Advanced,8+,8.8,0,0,0
VERTeX,SD,Expert,11+,11.9,0,0,0
VERTeX,SD,Master,14,14.5,0,0,0
Ignis Danse,SD,Basic,5,5,0,0,0
Ignis Danse,SD,Advanced,8,8.3,0,0,0
Ignis Danse,SD,Master,14,14.6,0,0,0
Scars of FAUNA,SD,Basic,4,4,0,0,0
Scars of FAUNA,SD,Advanced,7+,7.8,0,0,0
Scars of FAUNA,SD,Expert,11,11.2,0,0,0
FUJIN Rumble,SD,Basic,5,5,0,0,0
FUJIN Rumble,SD,Advanced,8,8.6,0,0,0
FUJIN Rumble,SD,Expert,11+,11.9,0,0,0
FUJIN Rumble,SD,Master,14,14.5,0,0,0
きたさいたま2000,SD,Basic,5,5,0,0,0
きたさいたま2000,SD,Advanced,8,8.6,0,0,0
きたさいたま2000,SD,Master,14,14.2,0,0,0
FLOWER,SD,Basic,6,6,0,0,0
FLOWER,SD,Advanced,8,8.3,0,0,0
FLOWER,SD,Expert,11+,11.9,0,0,0
Got more raves？,SD,Basic,6,6,0,0,0
Got more raves？,SD,Advanced,8+,8.8,0,0,0
Got more raves？,SD,Expert,12+,12.8,0,0,0
Got more raves？,SD,Master,14,14,0,0,0
不毛！,SD,Basic,3,3,0,0,0
不毛！,SD,Advanced,8,8.1,0,0,0
不毛！,SD,Expert,10,10.1,0,0,0
不毛！,SD,Master,12+,12.7,0,0,0
デッドレッドガールズ,SD,Basic,4,4,0,0,0
デッドレッドガールズ,SD,Advanced,8,8.6,0,0,0
デッドレッドガールズ,SD,Expert,10+,10.9,0,0,0
赤心性：カマトト荒療治,SD,Basic,5,5,0,0,0
赤心性：カマトト荒療治,SD,Advanced,7+,7.8,0,0,0
赤心性：カマトト荒療治,SD,Expert,9+,9.9,0,0,0
赤心性：カマトト荒療治,SD,Master,13+,13.7,0,0,0
悪戯,SD,Basic,5,5,0,0,0
悪戯,SD,Advanced,7,7.2,0,0,0
悪戯,SD,Expert,10,10.4,0,0,0
悪戯,SD,Master,12+,12.9,0,0,0
響縁,SD,Basic,5,5,0,0,0
響縁,SD,Advanced,6,6.8,0,0,0
響縁,SD,Expert,9+,9.7,0,0,0
初音ミクの消失,SD,Basic,6,6,0,0,0
初音ミクの消失,SD,Advanced,8+,8.8,0,0,0
初音ミクの消失,SD,Expert,11+,11.8,0,0,0
イノコリ先生,SD,Basic,4,4,0,0,0
イノコリ先生,SD,Advanced,7,7.5,0,0,0
イノコリ先生,SD,Expert,9+,9.9,0,0,0
イノコリ先生,SD,Master,12+,12.7,0,0,0
キャプテン・ムラサのケツアンカー,SD,Basic,6,6,0,0,0
キャプテン・ムラサのケツアンカー,SD,Advanced,7,7.4,0,0,0
キャプテン・ムラサのケツアンカー,SD,Expert,11,11.5,0,0,0
若い力 -SEGA HARD GIRLS MIX-,SD,Basic,5,5,0,0,0
若い力 -SEGA HARD GIRLS MIX-,SD,Advanced,7,7.1,0,0,0
若い力 -SEGA HARD GIRLS MIX-,SD,Expert,10,10,0,0,0
若い力 -SEGA HARD GIRLS MIX-,SD,Master,12+,12.7,0,0,0
若い力 -SEGA HARD GIRLS MIX-,SD,Re:MASTER,12+,12.7,0,0,0
ウミユリ海底譚,SD,Basic,4,4,0,0,0
ウミユリ海底譚,SD,Advanced,7,7.5,0,0,0
ウミユリ海底譚,SD,Expert,9+,9.7,0,0,0
welcome to maimai!! with マイマイマー,SD,Basic,6,6,0,0,0
welcome to maimai!! with マイマイマー,SD,Advanced,8,8,0,0,0
welcome to maimai!! with マイマイマー,SD,Expert,9+,9.9,0,0,0
welcome to maimai!! with マイマイマー,SD,Master,12+,12.9,0,0,0
ストリーミングハート,SD,Basic,3,3,0,0,0
ストリーミングハート,SD,Advanced,8,8,0,0,0
ストリーミングハート,SD,Expert,10+,10.7,0,0,0
Change Our MIRAI！,SD,Basic,4,4,0,0,0
Change Our MIRAI！,SD,Advanced,8,8,0,0,0
Change Our MIRAI！,SD,Expert,11,11,0,0,0
Change Our MIRAI！,SD,Master,13,13.4,0,0,0
Aiolos,SD,Basic,6,6,0,0,0
Aiolos,SD,Advanced,8+,8.8,0,0,0
LANCE,SD,Basic,5,5,0,0,0
LANCE,SD,Advanced,8+,8.7,0,0,0
橙の幻想郷音頭,SD,Basic,5,5,0,0,0
橙の幻想郷音頭,SD,Advanced,7,7,0,0,0
橙の幻想郷音頭,SD,Expert,11,11,0,0,0
橙の幻想郷音頭,SD,Master,13,13.3,0,0,0
東方妖々夢 ～the maximum moving about～,SD,Basic,6,6,0,0,0
東方妖々夢 ～the maximum moving about～,SD,Advanced,8,8.3,0,0,0
東方妖々夢 ～the maximum moving about～,SD,Expert,9+,9.9,0,0,0
蒼空に舞え、墨染の桜,SD,Basic,6,6,0,0,0
蒼空に舞え、墨染の桜,SD,Advanced,7,7.2,0,0,0
蒼空に舞え、墨染の桜,SD,Expert,11,11,0,0,0
少女幻葬戦慄曲 ～ Necro Fantasia,SD,Basic,6,6,0,0,0
少女幻葬戦慄曲 ～ Necro Fantasia,SD,Advanced,8,8.2,0,0,0
少女幻葬戦慄曲 ～ Necro Fantasia,SD,Expert,10+,10.8,0,0,0
Contrapasso -paradiso-,SD,Basic,6,6,0,0,0
Contrapasso -paradiso-,SD,Advanced,9,9.5,0,0,0
幸せになれる隠しコマンドがあるらしい,SD,Basic,6,6,0,0,0
幸せになれる隠しコマンドがあるらしい,SD,Advanced,9,9.3,0,0,0
フラグメンツ -T.V. maimai edit-,SD,Basic,4,4,0,0,0
フラグメンツ -T.V. maimai edit-,SD,Advanced,6,6.6,0,0,0
フラグメンツ -T.V. maimai edit-,SD,Expert,9+,9.9,0,0,0
フラグメンツ -T.V. maimai edit-,SD,Master,12+,12.8,0,0,0
願いを呼ぶ季節,SD,Basic,4,4,0,0,0
願いを呼ぶ季節,SD,Advanced,7,7.3,0,0,0
願いを呼ぶ季節,SD,Expert,10,10.4,0,0,0
願いを呼ぶ季節,SD,Master,12,12.5,0,0,0
Yet Another ”drizzly rain”,SD,Basic,4,4,0,0,0
Yet Another ”drizzly rain”,SD,Advanced,7,7.6,0,0,0
Yet Another ”drizzly rain”,SD,Expert,10,10.4,0,0,0
Yet Another ”drizzly rain”,SD,Master,12,12.6,0,0,0
四次元跳躍機関,SD,Basic,3,3,0,0,0
四次元跳躍機関,SD,Advanced,7,7,0,0,0
四次元跳躍機関,SD,Expert,10+,10.8,0,0,0
最終鬼畜妹・一部声,SD,Basic,6,6,0,0,0
最終鬼畜妹・一部声,SD,Advanced,8,8.3,0,0,0
最終鬼畜妹・一部声,SD,Master,13+,13.9,0,0,0
GEMINI -M-,SD,Basic,7,7,0,0,0
GEMINI -M-,SD,Advanced,7+,7.8,0,0,0
+♂,SD,Basic,5,5,0,0,0
+♂,SD,Advanced,8,8.3,0,0,0
+♂,SD,Expert,10,10.6,0,0,0
ありふれたせかいせいふく,SD,Basic,5,5,0,0,0
ありふれたせかいせいふく,SD,Advanced,7,7.6,0,0,0
ありふれたせかいせいふく,SD,Expert,9+,9.9,0,0,0
頓珍漢の宴,SD,Basic,5,5,0,0,0
頓珍漢の宴,SD,Advanced,8+,8.7,0,0,0
Garden Of The Dragon,SD,Basic,2,2,0,0,0
Garden Of The Dragon,SD,Advanced,7,7,0,0,0
Garden Of The Dragon,SD,Expert,11+,11.9,0,0,0
After Burner,SD,Basic,6,6,0,0,0
After Burner,SD,Advanced,8,8.6,0,0,0
After Burner,SD,Expert,11+,11.8,0,0,0
After Burner,SD,Master,13+,13.7,0,0,0
Counselor,SD,Basic,4,4,0,0,0
Counselor,SD,Advanced,7+,7.8,0,0,0
Counselor,SD,Expert,10+,10.7,0,0,0
Counselor,SD,Master,12,12.4,0,0,0
Glorious Crown,SD,Basic,7,7,0,0,0
Glorious Crown,SD,Advanced,10,10.5,0,0,0
Glorious Crown,SD,Master,14+,14.8,0,0,0
言ノ葉遊戯,SD,Basic,4,4,0,0,0
言ノ葉遊戯,SD,Advanced,7+,7.8,0,0,0
言ノ葉遊戯,SD,Expert,10+,10.9,0,0,0
言ノ葉遊戯,SD,Master,12+,12.7,0,0,0
りばーぶ,SD,Basic,3,3,0,0,0
りばーぶ,SD,Advanced,7,7,0,0,0
りばーぶ,SD,Expert,9+,9.9,0,0,0
りばーぶ,SD,Master,11,11.4,0,0,0
幾四音-Ixion-,SD,Basic,5,5,0,0,0
幾四音-Ixion-,SD,Advanced,8,8.6,0,0,0
幾四音-Ixion-,SD,Expert,10+,10.8,0,0,0
幾四音-Ixion-,SD,Master,13,13.3,0,0,0
閃鋼のブリューナク,SD,Basic,5,5,0,0,0
閃鋼のブリューナク,SD,Advanced,8+,8.8,0,0,0
閃鋼のブリューナク,SD,Expert,11+,11.8,0,0,0
無敵We are one!!,SD,Basic,5,5,0,0,0
無敵We are one!!,SD,Advanced,8,8.6,0,0,0
無敵We are one!!,SD,Expert,10,10.1,0,0,0
7thSense,SD,Basic,6,6,0,0,0
7thSense,SD,Advanced,8+,8.8,0,0,0
7thSense,SD,Expert,11+,11.8,0,0,0
FEEL the BEATS,SD,Basic,5,5,0,0,0
FEEL the BEATS,SD,Advanced,8,8.6,0,0,0
Revive The Rave,SD,Basic,6,6,0,0,0
Revive The Rave,SD,Advanced,8+,8.8,0,0,0
スリップフリップ,SD,Basic,4,4,0,0,0
スリップフリップ,SD,Advanced,8,8.3,0,0,0
スリップフリップ,SD,Expert,10+,10.7,0,0,0
Jimang Shot,SD,Basic,6,6,0,0,0
Jimang Shot,SD,Advanced,7,7.6,0,0,0
Jimang Shot,SD,Expert,10,10.6,0,0,0
Jimang Shot,SD,Master,13,13.3,0,0,0
儚きもの人間,SD,Basic,5,5,0,0,0
儚きもの人間,SD,Advanced,8,8.5,0,0,0
儚きもの人間,SD,Expert,10+,10.9,0,0,0
ラブリー☆えんじぇる!!,SD,Basic,5,5,0,0,0
ラブリー☆えんじぇる!!,SD,Advanced,7,7.3,0,0,0
ラブリー☆えんじぇる!!,SD,Expert,10,10.1,0,0,0
オモイヨシノ,SD,Basic,4,4,0,0,0
オモイヨシノ,SD,Advanced,7+,7.8,0,0,0
オモイヨシノ,SD,Expert,10+,10.8,0,0,0
アージェントシンメトリー,SD,Basic,5,5,0,0,0
アージェントシンメトリー,SD,Advanced,7,7.2,0,0,0
アージェントシンメトリー,SD,Expert,10+,10.9,0,0,0
アージェントシンメトリー,SD,Re:MASTER,14,14,0,0,0
HIMITSUスパーク,SD,Basic,5,5,0,0,0
HIMITSUスパーク,SD,Advanced,7,7.6,0,0,0
HIMITSUスパーク,SD,Expert,10,10.1,0,0,0
HIMITSUスパーク,SD,Master,13,13.2,0,0,0
Party 4U ”holy nite mix”,SD,Basic,4,4,0,0,0
Party 4U ”holy nite mix”,SD,Advanced,7+,7.8,0,0,0
Party 4U ”holy nite mix”,SD,Expert,11+,11.8,0,0,0
Party 4U ”holy nite mix”,SD,Master,13+,13.7,0,0,0
囲い無き世は一期の月影,SD,Basic,5,5,0,0,0
囲い無き世は一期の月影,SD,Advanced,8,8,0,0,0
囲い無き世は一期の月影,SD,Expert,10+,10.7,0,0,0
Lividi,SD,Basic,5,5,0,0,0
Lividi,SD,Advanced,9,9.6,0,0,0
Infantoon Fantasy,SD,Basic,6,6,0,0,0
Infantoon Fantasy,SD,Advanced,8,8.6,0,0,0
Infantoon Fantasy,SD,Expert,10+,10.8,0,0,0
Jumble Rumble,SD,Basic,6,6,0,0,0
Jumble Rumble,SD,Advanced,8+,8.8,0,0,0
Jumble Rumble,SD,Master,14,14,0,0,0
Imitation:Loud Lounge,SD,Basic,5,5,0,0,0
Imitation:Loud Lounge,SD,Advanced,7+,7.8,0,0,0
Imitation:Loud Lounge,SD,Expert,12+,12.8,0,0,0
Imitation:Loud Lounge,SD,Master,13,13.4,0,0,0
CITRUS MONSTER,SD,Basic,7,7,0,0,0
CITRUS MONSTER,SD,Advanced,9,9.3,0,0,0
Hyper Active,SD,Basic,6,6,0,0,0
Hyper Active,SD,Advanced,9,9.1,0,0,0
Hyper Active,SD,Master,13+,13.9,0,0,0
AMAZING MIGHTYYYY!!!!,SD,Basic,7+,7.7,0,0,0
AMAZING MIGHTYYYY!!!!,SD,Advanced,9+,9.8,0,0,0
AMAZING MIGHTYYYY!!!!,SD,Master,14+,14.7,0,0,0
AMAZING MIGHTYYYY!!!!,SD,Re:MASTER,14,14.5,0,0,0
fake!fake!,SD,Basic,4,4,0,0,0
fake!fake!,SD,Advanced,7+,7.8,0,0,0
fake!fake!,SD,Expert,10,10.1,0,0,0
fake!fake!,SD,Master,13,13,0,0,0
セハガガガンバッちゃう！！,SD,Basic,6,6,0,0,0
セハガガガンバッちゃう！！,SD,Advanced,8,8.1,0,0,0
セハガガガンバッちゃう！！,SD,Expert,11,11.5,0,0,0
セハガガガンバッちゃう！！,SD,Master,13,13.3,0,0,0
キミノヨゾラ哨戒班,SD,Basic,5,5,0,0,0
キミノヨゾラ哨戒班,SD,Advanced,7+,7.8,0,0,0
キミノヨゾラ哨戒班,SD,Expert,10+,10.8,0,0,0
恋愛裁判,SD,Basic,4,4,0,0,0
恋愛裁判,SD,Advanced,7,7.1,0,0,0
恋愛裁判,SD,Expert,10,10,0,0,0
パーフェクト生命,SD,Basic,6,6,0,0,0
パーフェクト生命,SD,Advanced,8,8.1,0,0,0
パーフェクト生命,SD,Expert,10,10.1,0,0,0
パーフェクト生命,SD,Master,13,13.4,0,0,0
StargazeR,SD,Basic,5,5,0,0,0
StargazeR,SD,Advanced,7,7.6,0,0,0
StargazeR,SD,Expert,10+,10.8,0,0,0
だんだん早くなる,SD,Basic,3,3,0,0,0
だんだん早くなる,SD,Advanced,8,8.3,0,0,0
だんだん早くなる,SD,Expert,10,10.4,0,0,0
だんだん早くなる,SD,Master,11+,11.9,0,0,0
ヘルシーエンド,SD,Basic,4,4,0,0,0
ヘルシーエンド,SD,Advanced,7+,7.8,0,0,0
ヘルシーエンド,SD,Expert,11,11.1,0,0,0
ヘルシーエンド,SD,Master,13,13,0,0,0
東京リアルワールド,SD,Basic,5,5,0,0,0
東京リアルワールド,SD,Advanced,7,7.5,0,0,0
東京リアルワールド,SD,Expert,9,9.4,0,0,0
東京リアルワールド,SD,Master,10+,10.8,0,0,0
やめろ！聴くな！,SD,Basic,6,6,0,0,0
